Example, Gecode, Time(ms), Chuffed, Time(ms)
1, Good, 284, Good, 256
2, Good, 315, Good, 359
3, Good, 267, Good, 253
4, Good, 267, Good, 258
5, Good, 281, Good, 260
6, Good, 271, Good, 269
7, Good, 313, Good, 287
8, Good, 281, Good, 287
9, Good, 598000 (9min 58s)  , Good, 1034
10, Good, 459, N Good, 
11, N Good, , N Good, 
12, N Good,  , N Good,  
13, Good, 942, N Good,
14, Good, 1741, N Good,
15, Good, 629, N Good,
16, Good, 1205, N Good,
17, Good, 830, N Good,
18, Good, 948, N Good,
19, Good, 1809, N Good,
20, Good, 64000, N Good,
